,Acousticness,Danceability,Duration_ms,Energy,ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
120,0.0917,0.747,310467,0.749,04MjaNej8XUHI8jbz2THez,0.0,9,0.0444,-6.255,1,0.0563,100.722,4,0.563
121,0.0215,0.765,192172,0.704,04MLEeAMuV9IlHEsD8vF6A,0.0,5,0.227,-4.589,0,0.127,147.055,4,0.498
122,0.837,0.57,219134,0.219,04NQ1q92DRbxWq6lhpVVDQ,0.0112,3,0.319,-14.433,1,0.0305,99.542,4,0.263
123,0.00786,0.498,235000,0.598,04pjfS3YIK6gXjxi1zHeZa,0.0,4,0.111,-6.638,0,0.0377,140.078,4,0.0573
124,0.019,0.611,349293,0.809,04QZdz4g1qoDlPscXVXS1I,0.0185,6,0.114,-6.63,0,0.0342,118.003,4,0.428
125,0.64,0.694,243720,0.689,04UTqRsNm7ozil6lXW05dB,1.8e-06,4,0.0776,-5.463,1,0.03,95.008,4,0.477
126,0.646,0.5,175333,0.224,04vLj9QUXoKdRlsp3gkURo,0.0,3,0.284,-12.431,1,0.0935,202.481,4,0.62
127,0.149,0.673,205773,0.741,04YFRczeeieYRlsrPJ8hjh,0.00101,7,0.165,-5.247,0,0.0549,123.941,4,0.604
128,0.432,0.525,246738,0.829,04Yi3WxTBY599l1J8RnzIM,0.0,7,0.81,-6.112,1,0.542,177.324,4,0.833
129,0.00383,0.964,263933,0.502,04yv0dtqVm9u745efIuxbZ,0.0,0,0.0874,-7.604,1,0.191,127.993,4,0.551
130,0.0997,0.519,334667,0.748,04zodNGYYLI7Q7DsFgQAql,0.0,9,0.12,-5.938,1,0.075,150.045,3,0.297
131,0.392,0.494,302571,0.477,04zTo5p0wVzQXXSKLuLSOh,0.0,1,0.191,-6.688,0,0.0465,139.968,4,0.225
132,0.00281,0.63,195519,0.694,04ZTP5KsCypmtCmQg5tH9R,0.0,11,0.0719,-6.257,0,0.0253,97.005,4,0.216
133,0.876,0.183,277053,0.458,04zxGiXcmNQ0m9oDXtwo18,0.776,2,0.355,-9.651,0,0.0459,69.352,4,0.0661
134,0.0723,0.598,209948,0.846,051jBWZUgTspptCBYPxPsI,0.0,4,0.219,-4.327,1,0.0781,141.907,4,0.777
135,0.0194,0.59,265960,0.711,0534jmQ0dYChW5MSzYXNVr,0.0,0,0.122,-7.589,1,0.0247,143.937,4,0.847
136,0.0824,0.731,226047,0.782,053sjtHtfgseKIyA777w2C,0.0,7,0.0983,-5.194,1,0.231,172.036,4,0.356
137,0.0446,0.877,231848,0.777,059bcIhyc2SBwm6sw2AZzd,3.46e-05,1,0.0863,-4.246,1,0.117,102.02,4,0.706
138,0.0031,0.914,162214,0.515,05And5JRQJeIaMASE5D9Nj,0.0,1,0.105,-9.934,1,0.356,150.016,4,0.215
139,0.859,0.57,163840,0.0279,05bnEv2dpFzmGVLGdjD9UP,0.0892,1,0.254,-22.282,1,0.0588,84.902,4,0.28
140,0.567,0.517,132173,0.541,05c0xQt46QZBFQs32W5dZB,0.0,7,0.143,-7.525,1,0.0394,103.401,4,0.827
141,0.0113,0.744,252960,0.821,05CgKydlFJALNy4JTHeMgs,0.0,7,0.259,-3.009,1,0.161,145.982,4,0.762
142,0.0242,0.654,242960,0.609,05cj8ljKlAUYi1hjhLsRlz,0.0,1,0.232,-4.218,1,0.112,118.691,3,0.554
143,0.131,0.745,218213,0.682,05hdZ0YRqAg6qsgV1ee3LE,0.0,5,0.119,-5.85,0,0.0964,135.065,4,0.198
144,0.345,0.725,175536,0.51,05J0mW2zcr7YRGrFEcW2Aj,0.0,1,0.212,-7.828,1,0.269,155.023,4,0.348
145,0.00913,0.466,233114,0.533,05kIfJwnJ2EMhF1vVE6LGq,0.437,3,0.2,-9.419,0,0.0326,146.571,4,0.257
146,0.00815,0.354,164000,0.651,05kKhYnWLjlfndxy2RKI9O,0.428,7,0.16,-7.385,1,0.0343,180.939,4,0.0811
147,0.0621,0.617,218674,0.492,05KOgYg8PGeJyyWBPi5ja8,0.0,10,0.484,-7.588,0,0.448,141.953,4,0.208
148,0.0227,0.739,189000,0.742,05mAIVLkIWc2d1UBYZBCp8,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659
149,0.196,0.626,201193,0.566,05Mr0K1zGWCuCDwVEGjaGb,0.0,11,0.0841,-9.336,1,0.06,95.245,4,0.636
150,0.664,0.654,226040,0.393,05nbZ1xxVNwUTcGwLbp7CN,0.0,5,0.114,-7.621,0,0.284,159.741,4,0.105
151,0.000537,0.426,243600,0.981,05NRKMTDuXA5ehLLe0wtL0,0.0,10,0.357,-2.749,1,0.162,150.052,4,0.0983
152,0.694,0.585,240166,0.303,05pKAafT85jeeNhZ6kq7HT,0.0,4,0.115,-10.058,1,0.0398,136.703,3,0.142
153,0.192,0.686,207013,0.614,05pTVLcNPvMGoFZgLXIf6v,0.0,0,0.115,-6.478,1,0.0611,113.922,4,0.275
154,0.0301,0.624,242050,0.568,05r1GGg1Rhs0RcUg27C82a,0.0,9,0.25,-5.664,1,0.143,149.857,4,0.115
155,0.0117,0.695,141317,0.775,05rJdH2MRLJ3sQoEUO78qs,0.191,11,0.0702,-5.041,0,0.0887,180.054,4,0.869
156,0.282,0.556,120137,0.481,05t7JMip6JrLuSrMV5yYjX,0.0,11,0.216,-7.663,1,0.313,149.025,4,0.581
157,0.013,0.44,229080,0.798,05uI1w9BFqXXljwFBeDf6w,0.000315,5,0.668,-8.948,1,0.0352,101.47,4,0.428
158,0.113,0.513,251284,0.684,05W4TSNqPEXtKdejLVRQrm,0.000144,0,0.395,-5.499,1,0.104,83.985,4,0.266
